U+E117	³	CI系统
U+E17D	*魟	
U+E180	䴕*鴷	
U+E182	𩽾*鮟	
U+E184	**	|鰤
U+E185	**	|裲
U+E186	㞎	
U+E187	*鰕	
U+E188	*蘡	
U+E189	*鱲	
U+E18A	*鷭	
U+E18C	䁖	眍
U+E18D	*㒓	|
U+E18F	䴙*鸊	
U+E191	*蘋	
U+E192	*餬	
U+E193	*鮄	鲂
U+E194	*鎯	
U+E199	*鴃	
U+E19A	*駃	
U+E19D	*鰶	
U+E19E	䲟*鮣	
U+E19F	*鱵	
U+E1A0	䲠*鰆	
U+E1A2	*鴂	
U+E1A4	𥿝	
U+E1A5	**	|襌
U+E1A6	*齼	
U+E1A7	䥽	|鏺
U+E1A8	㗑	
U+E1A9	*鮨	
U+E1AA	䇲	|筴
U+E1AC	*絁	
U+E1B2	*鸜	
U+E1B6	*䗻	|
U+E1B7	𢙐*憹	懊
U+E1BA	𥻗	棒子
U+E1BB	*梖	
U+E1BE	*騃	
U+E1BF	䌷*紬	
U+E1C4	*鵏	
U+E1C9	䜺	
U+E1D4	䘕	
U+E1D6	*閤	
U+E1D7	㺀	
U+E1DC	*轗	
U+E1DD	𡒄*壈	坎
U+E1DE	㖞*喎	口眼斜
U+E1E0	**	|鱍
U+E1E1	㹭	林
U+E1E2	**	|凙
U+E1E4	*䉬	|
U+E1EC	*顇	
U+E1EE	㭎*棡	|棡
U+E1F1	𨓈	|适
U+E1F6	*鈇	
U+E1F7	𨱏*鎝	
U+E1FA	*圞	|圞|圝
U+E1FF	𠺖	
U+E200	㖊*噚	|噚
U+E202	*頫	
U+E204	䗛	
U+E205	㤅	
U+E206	萲*薆	|薆
U+E208	嶅	
U+E20B	*䶕	
U+E20C	㓦	
U+E20D	**	|韛
U+E20F	𠳐	
U+E213	*閟	
U+E215	*駜	
U+E216	𥷑	
U+E217	**	|饆
U+E21A	㝿	
U+E21B	*餔	
U+E21C	㘵	
U+E21D	䃰	
U+E21E	*縩	
U+E220	*䱗	
U+E221	𥮾*篸	|篸
U+E222	䅟*穇	|穇
U+E223	𤭢	
U+E225	*鋋	
U+E227	**	|鋹
U+E228	**	|韔
U+E229	𪎊	|
U+E22B	*唓	
U+E22C	*綝	
U+E22D	*䳥	
U+E22F	𠋆*儭	|儭|嚫
U+E231	摛	
U+E232	*絺	
U+E233	*鶒	
U+E236	𥅻	
U+E237	**	|搊
U+E238	𥬠*篘	|篘
U+E23A	**	|侴
U+E23B	䢺	
U+E23C	㡡*幮	|幮
U+E23D	*鉏	
U+E23E	**	|鶵
U+E23F	*諔	
U+E240	䦷*䦟	
U+E242	**	|凔
U+E243	*輴	
U+E244	*錞	
U+E245	*薋	
U+E246	*鮆	
U+E248	𨥎*鏦	|鏦
U+E249	*賨	
U+E24A	䐛	
U+E24B	㟷	
U+E24C	**	|繨
U+E24F	黱	
U+E250	*嚪	
U+E251	*贉	
U+E253	䃅*磾	|磾
U+E254	*頔	
U+E255	䯼	
U+E256	䗖*螮	|螮|蝃
U+E259	𦰏*蓧	|蓧
U+E25A	绖	
U+E25B	**	|嵽
U+E25C	㲲*氎	
U+E25E	𥥷	
U+E260	㞘	|
U+E262	**	|讟
U+E264	*䭔	
U+E265	*驐	
U+E266	𣎴	
U+E267	**	|奲
U+E268	*頞	
U+E269	𥔲	
U+E26A	*輀	|
U+E26C	𠲎	
U+E26D	*颿	
U+E26E	*繙	
U+E270	*騑	
U+E273	㬟*朆	|朆
U+E274	𣸣*濆	
U+E275	*鵩	
U+E276	**	|隑
U+E277	㽏	
U+E278	*贑	|灨
U+E279	*釭	
U+E27A	㧏*掆	|掆
U+E27B	*䴚	|
U+E27D	櫜	
U+E27E	*謌	
U+E27F	*轕	
U+E281	*縆	|緪|絚
U+E284	*䳍	
U+E285	*軱	
U+E286	䀦	
U+E287	䀇	
U+E289	䯄*騧	|騧
U+E28A	**	|緺
U+E28B	䒷	
U+E28D	*絓	
U+E28E	𣪕	
U+E292	*彍	|彍|彉
U+E293	**	|漍
U+E294	𤂆*滮	
U+E296	㘎*阚	|阚
U+E297	*訸	
U+E298	*鉷	
U+E29A	*澒	
U+E29B	**	|幠
U+E29C	*䱻	
U+E29D	*讙	|嚾
U+E29E	*驩	
U+E29F	𤩽*瓛	|瓛
U+E2A0	*轘	
U+E2A1	㬊	
U+E2A2	*鐄	
U+E2A3	*餭	
U+E2A7	㧑*撝	||撝
U+E2A9	*靧	
U+E2AB	*騞	|剨
U+E2AC	㺢	
U+E2AE	𦞦	
U+E2AF	*襀	
U+E2B0	*勣	
U+E2B1	*錤	
U+E2B2	㚻	
U+E2B3	𥘌*禨	|禨
U+E2B4	𩉜*鞿	|鞿
U+E2B5	㧀	
U+E2B6	䴥*麚	
U+E2B7	*絸	
U+E2B8	*劗	
U+E2B9	*瞷	|覵
U+E2BA	**	|諓
U+E2BB	𣴓	
U+E2BC	螀	|螿
U+E2BD	䴔*鵁	
U+E2BF	嘦	
U+E2C0	*䥛	
U+E2C1	㛃	
U+E2C3	*紟	
U+E2C4	𢀖*巠	|巠
U+E2C5	*駉	
U+E2C6	䌹*絅	|褧
U+E2C7	*鮈	
U+E2C8	㪺	
U+E2C9	䴗*鶪	
U+E2CA	*鐻	
U+E2CB	*屩	|屩|
U+E2CD	㵐	
U+E2CE	*鐍	
U+E2D0	*顑	
U+E2D1	𥬯	
U+E2D3	㸆*焅	|焅
U+E2D4	*㼈	珂罗版・珂版
U+E2D5	𤰙*{田九}	
U+E2D9	**	|彄
U+E2DA	*𣫠	
U+E2DB	㗄*圐	|圐
U+E2DD	㧟*擓	|擓
U+E2DE	㑌	
U+E2DF	*鵟	
U+E2E0	*絖	
U+E2E1	䙌*䙡	
U+E2E4	*鯻	
U+E2E6	*籣	|
U+E2E8	㙟*塱	|塱
U+E2E9	㮾	
U+E2EA	㫰	
U+E2EB	㹎	
U+E2EC	㶟	
U+E2ED	㘄	
U+E2EE	**	|纚
U+E2F3	**	|蜽
U+E2F4	**	|緉
U+E2F6	䒿*膋	|膋
U+E2F9	**	|儱
U+E2FA	*篢	
U+E2FB	㟖	
U+E2FE	**	|矑
U+E2FF	**	|纑
U+E301	䍡	
U+E302	𦌊	
U+E303	㟤	
U+E304	*䱚	
U+E305	*騄	
U+E306	*鑢	|鑢
U+E307	**	|埨
U+E309	*覙	|覼
U+E30D	**	|璊
U+E30E	䕷	
U+E30F	𥮜*䉲	|
U+E312	䩄*靦	
U+E314	𩾃*鮸	
U+E317	*纆	
U+E318	*麰	
U+E319	㟂	
U+E31A	*鉧	钴
U+E31D	𨚗	|
U+E322	**	|譊
U+E323	*輗	
U+E324	𧏾	|
U+E326	*褭	
U+E328	𥬞*籋	|籋
U+E32A	**	|鬡
U+E32B	**	|醲
U+E32C	㚢	
U+E32E	*𡂿	|
U+E333	*鈚	|錍
U+E334	𦨭	
U+E335	*釽	|
U+E337	𠷨	
U+E339	䥕*鐅	
U+E33A	*嚬	
U+E33B	*䫏	|魌
U+E33C	𥌁	
U+E33D	䏿	
U+E33F	*綪	
U+E340	*䤌	|
U+E343	𥁢*䀉	|
U+E347	䞍*䝼	
U+E34C	*穐	|龝
U+E34D	𨱇*銶	
U+E34E	㞗	
U+E34F	㘗	
U+E351	𨟠	
U+E353	𧟄	
U+E354	𣭲*氄	|氄|
U+E356	*輮	
U+E357	耎	
U+E358	*緌	
U+E35A	𥆧*瞤	
U+E35B	𢫬*摋	|摋
U+E35D	**	|濇
U+E35E	䀹*睒	|睒
U+E35F	**	|墠
U+E362	*輋	
U+E363	*駪	
U+E364	䴓*鳾	
U+E365	鸤*鳲	
U+E366	㕜	
U+E367	*鉥	
U+E369	*騻	
U+E36A	*鷞	
U+E36B	*飤	
U+E36C	*覗	
U+E36E	怂*㞞	|
U+E370	㧐*㩳	|
U+E372	*餗	
U+E373	*𧴪	
U+E374	*鏁	
U+E375	𦈖*䌈	
U+E376	㳠*澾	|澾
U+E378	䑽	|
U+E37C	*餹	
U+E37D	䄻	
U+E37E	䵚	
U+E37F	*蟘	|螣
U+E380	*𩮜	
U+E381	*餂	
U+E382	㥏	
U+E383	㪗	
U+E384	**	|漙
U+E386	*穨	
U+E38A	*駞	
U+E38D	㗏	
U+E38E	𢱉	
U+E390	**	|澫
U+E391	𣲗*湋	|湋
U+E392	*鮠	
U+E393	*蒍	|蒍|蔿
U+E394	**	|暐
U+E395	**	|韡
U+E396	*頠	
U+E397	*讆	|讆|躗
U+E398	䩺	
U+E399	*䱵	
U+E39A	𣲘*潕	|潕|
U+E39D	*譆	
U+E39F	*鉨	
U+E3A0	虩	
U+E3A1	**	|陿
U+E3A2	*鶱	
U+E3A3	*䲗	
U+E3A4	㬎	
U+E3A6	𤞤*玁	|玁
U+E3A7	*晛	
U+E3A8	*䤼	
U+E3A9	䖮	
U+E3AA	**	|曏
U+E3AB	*㩋	||
U+E3AE	*謏	
U+E3AF	𢽾*斅	|斅
U+E3B0	㙦	
U+E3B1	*齘	
U+E3B2	*卨	|卨|禼
U+E3B4	𦈡*繻	
U+E3B5	*訏	
U+E3B6	*盨	
U+E3B7	𦕓	
U+E3B8	*譞	
U+E3BA	*纁	
U+E3BB	*紃	
U+E3BC	**	|璕
U+E3BD	**	|鄩
U+E3C0	*縯	
U+E3C1	**	|巘
U+E3C2	**	|噞
U+E3C3	*鷃	|鴳
U+E3C4	*爓	
U+E3C5	㙘	
U+E3C6	𧦧*訑	|訑|詑
U+E3C7	*貤	
U+E3C8	*齮	
U+E3C9	㠯	
U+E3CA	**	|顗
U+E3CB	*饐	
U+E3CD	*鶂	|鶃
U+E3CE	*闉	
U+E3CF	*絪	
U+E3D0	㱃	
U+E3D1	**	|讔
U+E3D2	𦈠*䌥	
U+E3D3	䓨*罃	|罃
U+E3D5	㴩*灉	
U+E3D6	*輶	
U+E3D7	**	|旟
U+E3D8	*鴥	
U+E3D9	*軏	
U+E3DA	*鸑	|鸑
U+E3DD	*蹔	
U+E3DE	*灒	
