name=假名五笔
key=abcdefghijklmnopqrstuvwxy
len=4
assist=z mb/pinyin.txt
wildcard=z
dwf=1
commit=0 0 0
auto_clear=1
code_e2=p11+p12+p21+p22
code_e3=p11+p21+p31+p32
code_a4=p11+p21+p31+n11
[data]
bk ア
wk イ
pk ウ
ak エ
ftk オ
lk カ
fhk キ
qk ク
ttk ケ
nk コ
ak サ
ik シ
ck ス
nnk セ
uk ソ
qk タ
tdk チ
ik ツ
ftk テ
hk ト
dk ナ
fk ニ
ck ヌ
pyk ネ
tk ノ
wk ハ
xk ヒ
nk フ
yk ヘ
sk ホ
ck マ
ek ミ
ck ム
qk メ
gak モ
nhk ヤ
ngk ユ
vk ヨ
gnk ラ
jk リ
tnk ル
nk レ
lk ロ
pk ワ
ahk ヰ
bgk ヱ
ftk ヲ
uk ン
pvh あ
nyh い
pgh う
yeh え
ywh お
lkh か
xxh き
qyh く
yfh け
nnh こ
dah さ
pph し
fgh す
anh せ
ulh そ
dyh た
tdh ち
kth つ
gdh て
hhh と
dfh な
wfh に
vch ぬ
pyh ね
eth の
ihh は
xxh ひ
gih ふ
ukh へ
wkh ほ
gsh ま
ugh み
gah む
vvh め
tfh も
bnh や
mhh ゆ
gnh よ
yvh ら
tjh り
qyh る
pyh れ
llh ろ
tkh わ
yth ゐ
gjh ゑ
fkh を
fqh ん
bx ァ
wx ィ
ux ゥ
ax ェ
ftx ォ
lu ガ
fhu ギ
qu グ
ttu ゲ
nu ゴ
au ザ
iu ジ
cu ズ
nnu ゼ
uu ゾ
qu ダ
tdu ヂ
ix ッ
iu ヅ
ftu デ
hu ド
wu バ
wl パ
xu ビ
xl ピ
nu ブ
nl プ
yu ベ
yl ペ
su ボ
sl ポ
nhx ャ
ngx ュ
vx ョ
px ヮ
pu ヴ
lx ヵ
ttx ヶ
pvx ぁ
nyx ぃ
pgx ぅ
yex ぇ
ywx ぉ
lku が
xxu ぎ
qyu ぐ
yfu げ
nnu ご
dau ざ
ppu じ
fgu ず
anu ぜ
ulu ぞ
dyu だ
tdu ぢ
ktx っ
ktu づ
gdu で
hhu ど
ihu ば
ihl ぱ
xxu び
xxl ぴ
giu ぶ
gil ぷ
uku べ
ukl ぺ
wku ぼ
wkl ぽ
bnx ゃ
mhx ゅ
gnx ょ
tkx ゎ
yyll ・
qyi 々
nyi 〆
pvx ぁ
pvh あ
nyx ぃ
nyh い
pgh う
yex ぇ
yeh え
ywx ぉ
ywh お
lkh か
lku が
xxh き
xxu ぎ
qyh く
qyu ぐ
yfh け
yfu げ
nnh こ
nnu ご
dah さ
dau ざ
pph し
ppu じ
fgh す
fgu ず
anh せ
anu ぜ
ulh そ
ulu ぞ
dyh た
dyu だ
tdh ち
tdu ぢ
ktx っ
kth つ
ktu づ
gdh て
gdu で
hhh と
hhu ど
dfh な
wfh に
vch ぬ
pyh ね
eth の
ihh は
ihu ば
ihl ぱ
xxh ひ
xxu び
xxl ぴ
gih ふ
giu ぶ
gil ぷ
ukh へ
uku べ
ukl ぺ
wkh ほ
wku ぼ
wkl ぽ
gsh ま
ugh み
gah む
vvh め
tfh も
bnx ゃ
bnh や
mhx ゅ
mhh ゆ
gnx ょ
gnh よ
yvh ら
tjh り
qyh る
pyh れ
llh ろ
tkh わ
yth ゐ
gjh ゑ
fkh を
fqh ん
yyll ゝ
bx ァ
bk ア
wx ィ
wk イ
ux ゥ
pk ウ
ax ェ
ak エ
ftx ォ
ftk オ
lk カ
lu ガ
fhk キ
fhu ギ
qk ク
qu グ
ttk ケ
ttu ゲ
nk コ
nu ゴ
ak サ
au ザ
ik シ
iu ジ
ck ス
cu ズ
nnk セ
nnu ゼ
uk ソ
uu ゾ
qk タ
qu ダ
tdk チ
tdu ヂ
ix ッ
ik ツ
iu ヅ
ftk テ
ftu デ
hk ト
hu ド
dk ナ
fk ニ
ck ヌ
pyk ネ
tk ノ
wk ハ
wu バ
wl パ
xk ヒ
xu ビ
xl ピ
nk フ
nu ブ
nl プ
yk ヘ
yu ベ
yl ペ
sk ホ
su ボ
sl ポ
ck マ
ek ミ
ck ム
qk メ
gak モ
nhx ャ
nhk ヤ
ngx ュ
ngk ユ
vx ョ
vk ヨ
gnk ラ
jk リ
tnk ル
nk レ
lk ロ
px ヮ
pk ワ
ftk ヲ
uk ン
pu ヴ
lx ヵ
ttx ヶ
ggll ー
aa 式 戒 芽
aaaa 工
aadk 匿
aah 芽
aahl 藍
aak 戒
aalf 盞
aan 苣
aans 葉
aaqh 蔕
abf 茸
abi 蒸
abr 菰
abug 薩
abwc 蔭
ac 芭 茅 茎
aca 茎
acbm 蕷
acbt 茅
ack 苔
ad 基 期 藏
ada 莽
adat 蔵
ade 戎
adf 苦
adff 蓐
adi 藉
adj 菲
adjd 匪 菲
adjg 韮
adk 若
adkn 惹
admy 項
adn 茂
adnt 藏 茂
adu 蕨
adw 其
adwa 戡
adwd 碁
adwe 期
adwf 斟 基
adwl 勘
adwn 甚
adwr 斯
adws 棊
adwt 尠
adww 欺 莢
ae 菜 散 藤
aet 散
aeu 藤
af 革 某 著
afae 鞴
afb 邯
afcl 蓋
afcs 鞣
afcu 芸
afd 甘
afff 鞋
afi 蒜
afie 鞘
afij 鞜
afkf 薹
afl 勒
aflf 蕾
afmd 鞅
afmi 貳
afp 鞍
afq 鞠
afqn 鞄
afs 某
aft 著
aftj 蓍 著
afvy 靭 靱
afw 鞭
afwc 藝
afwk 薔
afwt 菱
afwu 芙
afwx 靴
ag 七 巧 葬
agaf 華
agaj 荊
agd 匡
agef 菁
agf 芋
agh 廿
agjf 蓴
agkg 菫
aglg 薑
agnn 巧
agnt 戈
agny 弋
ago 莱
agq 葬
agu 苹
ah 牙 邪 雅
ahal 蘆
ahf 苜
ahhh 蕋
ahk 苫
ahkm 頤
ahn 臣
ahne 腎
ahnf 堅
ahni 緊
ahnk 臨
ahnl 監
ahnm 賢
ahnq 覧
ahnu 竪 豎
ahnw 臥
ahtb 邪
ahto 鴉
ahty 雅
aig 薄
aigy 蒲
aih 菠
aiit 莎
aijr 蕩
aik 藻
ait 落
aitl 藩
aiu 汞
aiy 茫
ajd 莫
ajdc 驀
ajdf 墓
ajdh 幕
ajdj 暮 蟇
ajdl 募
ajdn 慕
aje 萌
ajf 昔
ajff 蒔
ajj 草
ajjf 菖
ajl 蔓
ajmp 邁
ajmy 萬
ajq 葛
ajsu 菓
ajwo 鵲
ajxx 菎
ak 或 惑 勤
akb 葺
akfe 艱
akfw 歎
akfy 難
akgd 或 茣
akgl 勤
akgn 惑 懃
akgq 覲
akhk 蕗
akkm 顴
akkn 萼 甌
akko 鸛
al 功 苗
ald 茵
aldt 蔑
alf 苗
alfe 薗
alfj 薯
alk 匣
alkf 茄 茴
alpn 甍
alpq 夢
alpu 蓮
alpx 薨
alt 菌
alxy 蘿
amc 芟
amd 英
amf 苒
amhj 繭
amnk 萵
amu 貢
amw 黄
amyf 鞏
amyh 跫
amyn 恐
an 世 芯
and 巨
anh 蔬
anhc 葭
anhh 葦
anks 蘗
anmu 貰
ann 蕊
anns 蘂
anu 芯
anw 蓼
aovt 薮
ap 芝
apfq 莞
apgg 萱
aplj 葷
apsj 苧
apw 蓉
apwj 蓿
aq 区 警
aqb 苑
aqg 葡
aqjj 苅
aqk 敬
aqkc 驚
aqkf 苟 茗
aqks 檠
aqky 警 菟
aqm 殴
aqn 苞
aqo 菊
aqod 蘚
aqoj 薊
aqot 蘇
aqq 欧
aqr 萄
aqrn 葱
aqto 荻
aqu 艾
aqv 匹
aqwo 鴎
aqy 芍
ar 匠 芹
ari 茱
aris 薬
arj 芹
arlo 蕪
arqc 蒐
as 苛 茜
asf 茜
asw 菘
at 攻 医
atd 医
atdk 蕎
atdn 翳
atdp 蓬
atdy 薙
atft 薐
atg 董
atgo 薫
atl 蓖
atm 薇
ato 蕃
atou 萩
atq 藜
atv 萎
atvh 葎
atx 莓
auff 荘
augi 蘭
auk 菩
aukb 蔀
aum 蔽
aupy 蒡
auqk 蒟
auqw 茨
aus 薪
auwy 藺
av 切 茹
avaf 蕁
avfj 蕭
avk 茹
avvv 茘
avw 萸
aw 共 花 茶
awg 葵
awhe 蓚
awj 芥
awn 巷
awns 蘖
awnu 恭
aws 茶
awsk 荷
awt 荼
awtf 荏
awv 芬
awvo 蔦 鳶
aww 巫
awx 花
awy 蕉
awyk 莟 蒼
axgu 苺
axll 蘊
axuu 蒻
ay 芳 荒 蓄
aya 蔗
ayah 蓆
ayfj 藷
ayjf 薺
ayjn 藹
ayk 蓑
ayms 藁
ayn 芒
ayno 薦
aynq 荒
aynr 芦
ayt 蔟
ayv 莨
ayw 萃
aywf 萃 蓙
ayx 蓄
bb 子 耶 陬
bbbm 顳
bbc 陬
bbh 耶
bc 取 聚 娶
bct 聚
bcv 娶
bd 承 随 堕
bda 隋
bde 随
bdef 堕
begg 阻
bevn 隠
bfd 孺
bfln 聴
bfw 陵
bfwf 陸
bgh 耳
bgji 陳
bgk 隔
bgm 陋
bib 函
big 丞
bij 隙
bjgr 陽
bjm 隅
bkgf 聖
blf 孟
blge 隈
blh 陣
bm 出 聘 祟
bmf 祟
bmg 聘
bmoy 糶
bn 也 孔 孑
bnh 了
bnhg 孑
bnn 孔
bny 恥
boqh 隣
bpf 院
bpgh 聢
bpq 耽
bpx 陀
bqhj 陥
bqr 陶
bqt 聊
br 孤 阪
brcy 阪 孤
bs 阿
bt 降 隆
btaf 陞
btg 隆
btln 聰
btxi 孫
btxp 遜
bty 孜
buaj 職
buef 墜
buey 隊
buj 障
buk 陪
buw 隘
bv 限
bwcn 聡
bwf 附
bwfi 際
bwgw 険
bwt 除
bwyc 陰
bx 陛
bxxg 聯
bxxr 階
by 防 孩
bynw 孩
cadw 騏
caj 弁
caky 驩
caqy 駆
cbci 驟
cbdm 預
cbj 予
cbn 馳
cbq 豫
cbt 矛
cbtl 務
cbtn 矜
cbts 柔
cc 双
ccc 又
cccs 桑
ccjy 騒
cckg 駘
ccwt 駿
ccy 双 馭
cd 参
cdl 畚
cdsk 騎
cdyy 駄
ce 能 通 勇
cel 勇
cep 通
cexn 態
cexo 熊
cfdm 頚
cffq 驍
cggy 馬
chal 驢
cjfh 駻
ck 台
ckh 馴
ckn 怠
clg 駟
clxi 騾
cnh 巴
cnyy 駅
cpxn 駝
cq 允
cqkg 駒
cqqy 駁
cr 牟
crgg 駈
crho 鴾
csfi 驃
ctdk 驕
ctkg 駱
cuah 駢
cuxw 驥
cvpc 駸
cwgw 験
cwt 逡
cwtc 皴
cygg 駐
cyi 叉
cyj 蚤
cyna 騙
cynw 駭
da 左
dav 砌
dbv 厄
dc 友 雄
dcw 雄
dcy 碼
dd 大 套
ddd 磊
dddn 砺
ddmy 碩
ddne 厖
ddnl 励
ddu 套
de 胡 髻
deb 郁
debb 髢
dedc 髪
dee 硼
deem 鬚
def 有
defk 髻
deh 髭
dejc 鬘
dem 髯
dema 髷
depm 鬢
dept 憂
deqn 髱
desc 鬆
detn 髦
deu 長
devn 鬣
dexj 髴
deyb 髣
dfa 奔
dfd 圧
dfe 辰
dfee 脣
dfef 辱
dfej 蜃
dfek 唇
dff 硅
dfi 奈
dfnj 刳
dfnn 匏
dfny 瓠
dft 奢
dg 三 石 感
dga 研
dgh 古
dgj 硬
dgkf 厨
dgkn 感
dgn 戌
dgtg 石
dgty 犬
dgv 威
dha 戛
dhb 存
dhc 破
dhd 慧
dhdv 彗
dhfd 在
dhi 戚
dhih 蹙
dhkg 砧
dhqn 硯
dht 夏
dhv 契
dhvb 齧
di 砂 耗 耕
die 硝
dif 耕
difc 耘
ditn 耗
dj 百 非
djb 厚
djec 魘
djed 厭 靨
djfd 厘
djg 碍
djn 奄
dk 右
dm 面 布
dmh 布
dmj 而
dmjf 耐
dmjk 厠
dmu 頁
dn 成 万 盛
dna 碾
dnee 尨
dnnl 盛
dnty
dnv 万 尤
do 灰
dpgh 碇
dpq 碗
dpwy 確
dq 克 爽
dqas 磔
dqay 砥
dqd 兢
dqjk 剋
dqnn 砲
dqq 爽
dr 原 碑
drim 願
drt 碑
dskf 奇
dskw 欹
dssh 歴 礎
dssj 暦
dtb 邦
dtf 寿
dty 故
du 磁
dud 磋
duj 辜
dujo 鷯
dujp 遼
dv 肆 碌 厩
dvc 厩
dvfh 肆 砕
dvi 碌
dw 春 泰 蠢
dwf 奉
dwg 奏
dwi 仄
dwiu 泰
dwjj 蠢
dwt 秦
dwv 舂
dww 雁
dwwi 夾
dwwk 硲
dwwm 贋
dwwo 鴈
dwy 礁
dwyf 奪
dwyg 碓
dwyl 奮
dxth 礙
dxx 砒
dxxt 磯
dy 太 碎
dyc 硫
dycy 砿
dyi 丈 太
dynt 戍
dyw 碎
ea 肛
eadt 臓
eajd 膜
eajn 臈
eap 朦
eayf 膵
eb 服 乳 孕
ebf 孕
ebn 乳
ec 肥 胎 盈
eck 胎
ecl 盈
edc 肱
edey 脹
edf 胯
edjd 腓
edmy 須
ee 朋 貌 豹
eea 貘
eee 月
eef 豺
eeo 燹
eeqy 豹
eerq 貌
eetk 貉
eev 貂
eevf 墾
eevn 懇
eewo 鵬
eey 豚
ef 肝 脚 肚
efc 肢
efcb 脚
efdj 臑
efg 肚
efk 膨
efwo 鶏
efy 肘
eg 且 助
egef 膊
egi 胚
egk 膈
egl 助
egm 肺
egt 豕
egva 脛
eiq 胱
eiqb 脳
ej 胆 腥
ejgr 腸
ejt 腥
el 肋 爵
elag 膕
elh 胛
elll 脇
elv 爵
elwl 膃
em 肌 股
emae 膿
emc 股
emg 胴
emw 肭
enwe 膠
epc 受
epi 逐
epnt 愛
epq 腕
epw 腔
epwf 膣
eq 胸 脆 胞
eqa 胝
eqd 脆
eqn 胞
er 遥 腺 脾
erey 脈
eri 腺
ert 脾
es 采 彩 腰
ese 彩
esu 采 朶
esv 腰
esw 膝
et 用 乃
etgf 腫
etj 腹
eua 胼
eudc 騰
eudi 縢
eudk 膳
eudl 勝
eudy 朕 謄
eued 朧
euf 胖
euj 臆
euk 脱
eup 膀
ev 妥 腿
eve 腿
evfp 腱
evln 臘
ewgj 膾
ex 脂
exdk 谿
ey 及
eyjg 臍
eyn 肪
eyw 腑
eywy 腋
fad 堪
fae 霰
fafg 坩
faj 卉
fajv 堰
fak 哉
fakg 域
falk 載
falw 戴
famu 賁
fas 栽
faw 截
fawk 塔
fay 裁
fbn 地
fc 支 去
fcb 却
fcbl 霧
fcln 劫
fcn 翅
fcr 魂
fct 埃
fcu 去 云 支
fd 城 需 震
fdf 震
fdm 需
fdth 靂
fef 埒
ff 寺 土
ffam 墳
ffcu 雲
fff 圭
ffff 土
fffh 幇
fffn 翹
fffy 封
ffh 填
ffhg 埴
ffhy 卦
ffi 款
ffii 隷
ffle 壊
ffnu 恚
ffog 霊
fft 堵
ffwk 墻
fg 二 十 干
fge 博
fggh 干
fgh 十
fghg 士
fghu 雫
fghy 雨 寸
fgi 坏
fgjg 垣
fgu 坪
fh 直 真 走
fha 越
fhag 墟
fhb 趣
fhg 址
fhh 赴
fhn 起
fhqt 趨
fhu 走
fhv 超
fhw 真
fhwm 顛
fi 示 未 求
fie 霄
fihk 霑
fii 未
fitf 釐
fiy 求
fiye 裘
fiyp 逑
fiyt 救
fja 戟
fje 朝
fjf 埋
fjfc 壜
fjff 塒
fjg 坦
fjgh 堤
fjgq 覯
fjgr 場
fjh 刊
fjhh 坤
fjk 井
fjnb 電
fjnh 韓
fjt 乾
fjw 翰
fjwf 斡 幹
fjyi 丼
fk 吉 露 喜
fke 袁
fkep 遠
fkhk 露
fkke 喪
fku 喜
fkuc 鼓
fkuh 瞽
fkuk 嘉 喜
flf 雷
flll 協
flmq 覿
flmu 賣
flwj 堺
fm 南 献
fmnk 堝
fmud 献
fn 志 声
fnaf 壽
fnbm 堀
fnhc 霞
fnhe 壻
fnk 霹
fnm 馨
fnmy 謦
fnr 声
fnua 塀
fo 赤 赦
fof 赫
fofj 赭
fot 赦
fpb 勃
fpdj 蠧
fpey 塚
fpfg 壺
fpgc 穀 轂
fpk 辻
fpkg 壷
fpmc 殻
